endpoint,cohort,n,pos,anchor,hypothesis,auroc_anchor,auroc_hyp,corr_anchor_hyp,corr_lo,corr_hi,delta_beyond,verdict,unique_r2,unique_r2_lo,unique_r2_hi,redundancy,prop_mediated,collinearity_label,transports,transport_score,corr_spread,corr_sign_consistent
Basal_vs_rest,METABRIC,1756,209,basal,immune,0.881,0.696,0.121,0.0721,0.1702,0.0206,SUPPORTED,0.0241,0.0128,0.0365,0.485,0.277,NOVEL,True,1.0,0.075,True
Basal_vs_rest,SCAN-B,3409,360,basal,immune,0.811,0.736,0.114,0.0798,0.1485,0.0525,SUPPORTED,0.056,0.0418,0.0723,0.248,0.127,NOVEL,True,1.0,0.075,True
Basal_vs_rest,TCGA_Agilent,577,93,basal,immune,0.811,0.672,0.108,0.0124,0.1877,0.026,SUPPORTED,0.033,0.0107,0.0658,0.334,0.179,NOVEL,True,1.0,0.075,True
Basal_vs_rest,TCGA_RNAseq,956,142,basal,immune,0.768,0.661,0.1833,0.1198,0.244,0.0325,SUPPORTED,0.0254,0.0075,0.0553,0.45,0.246,NOVEL,True,1.0,0.075,True
ER_pos_vs_neg,METABRIC,1937,1498,ER_signature,proliferation,0.944,0.8,-0.4919,-0.5252,-0.4555,0.0,EXPLAINED_BY_TEXTBOOK,0.0086,0.003,0.0157,0.957,0.762,NOVEL,True,1.0,0.175,True
ER_pos_vs_neg,SCAN-B,3189,2935,ER_signature,proliferation,0.96,0.798,-0.3195,-0.3476,-0.2863,0.0,EXPLAINED_BY_TEXTBOOK,0.0094,0.0048,0.0148,0.899,0.664,NOVEL,True,1.0,0.175,True
ER_pos_vs_neg,TCGA_Agilent,584,457,ER_signature,proliferation,0.925,0.792,-0.3331,-0.4104,-0.2493,0.0,EXPLAINED_BY_TEXTBOOK,0.0215,0.0052,0.0451,0.849,0.588,NOVEL,True,1.0,0.175,True
ER_pos_vs_neg,TCGA_RNAseq,1152,892,ER_signature,proliferation,0.936,0.782,-0.3164,-0.3762,-0.2594,0.0,EXPLAINED_BY_TEXTBOOK,0.0135,0.0038,0.0308,0.886,0.645,NOVEL,True,1.0,0.175,True
HER2_pos_vs_neg,METABRIC,1874,438,ERBB2_amplicon,ER,0.914,0.629,-0.1052,-0.1408,-0.0684,0.0,EXPLAINED_BY_TEXTBOOK,0.0015,0.0001,0.0044,0.887,0.662,REDUNDANT,False,0.167,0.158,False
HER2_pos_vs_neg,SCAN-B,3281,438,ERBB2_amplicon,ER,0.932,0.69,-0.0425,-0.077,-0.0107,0.0,EXPLAINED_BY_TEXTBOOK,0.0119,0.0076,0.0168,0.4,0.225,NOVEL,False,0.167,0.158,False
HER2_pos_vs_neg,TCGA_Agilent,509,76,ERBB2_amplicon,ER,0.913,0.626,0.0528,-0.017,0.1167,0.0,EXPLAINED_BY_TEXTBOOK,0.0048,0.0006,0.0123,-4.247,-1.294,INERT,False,0.167,0.158,False
HER2_pos_vs_neg,TCGA_RNAseq,766,114,ERBB2_amplicon,ER,0.921,0.614,0.0369,-0.018,0.0851,0.0,EXPLAINED_BY_TEXTBOOK,0.0017,0.0001,0.0053,-7.796,-1.968,INERT,False,0.167,0.158,False
LumA_vs_LumB,METABRIC,1175,475,proliferation,ER,0.919,0.57,-0.1734,-0.2349,-0.1186,0.0,REFUTED,0.0,0.0,0.0022,0.998,0.959,REDUNDANT,False,0.333,0.361,False
LumA_vs_LumB,SCAN-B,2476,767,proliferation,ER,0.934,0.502,0.0981,0.0355,0.1464,0.0,REFUTED,0.0061,0.0023,0.0118,-48.428,-6.065,NOVEL,False,0.333,0.361,False
LumA_vs_LumB,TCGA_Agilent,377,106,proliferation,ER,0.92,0.628,-0.0971,-0.2782,0.07,0.0,EXPLAINED_BY_TEXTBOOK,0.0015,0.0,0.0227,0.847,0.607,REDUNDANT,False,0.333,0.361,False
LumA_vs_LumB,TCGA_RNAseq,628,194,proliferation,ER,0.919,0.617,0.1881,-0.0092,0.3246,0.0,EXPLAINED_BY_TEXTBOOK,0.0383,0.0151,0.0624,-4.946,-1.483,NOVEL,False,0.333,0.361,False
