hypothesis,delta_beyond_textbook,auroc_hypothesis,q_value,verdict
HALLMARK_ADIPOGENESIS,0.0,0.548,0.5,REFUTED
HALLMARK_PANCREAS_BETA_CELLS,0.0,0.58,0.5,REFUTED
HALLMARK_KRAS_SIGNALING_DN,0.0,0.603,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_KRAS_SIGNALING_UP,0.0,0.586,0.5,REFUTED
HALLMARK_MITOTIC_SPINDLE,0.0,0.669,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MTORC1_SIGNALING,0.0,0.78,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYC_TARGETS_V1,0.0,0.762,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYC_TARGETS_V2,0.0,0.753,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYOGENESIS,0.0,0.537,0.5,REFUTED
HALLMARK_NOTCH_SIGNALING,0.0,0.635,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0,0.573,0.5,REFUTED
HALLMARK_P53_PATHWAY,0.0,0.518,0.5,REFUTED
HALLMARK_PEROXISOME,0.0,0.599,0.5,REFUTED
HALLMARK_ALLOGRAFT_REJECTION,0.0,0.677,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0,0.652,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_PROTEIN_SECRETION,0.0,0.582,0.5,REFUTED
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,0.687,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_SPERMATOGENESIS,0.0,0.74,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_TGF_BETA_SIGNALING,0.0,0.52,0.5,REFUTED
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0,0.649,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0,0.743,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_UV_RESPONSE_DN,0.0,0.604,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_UV_RESPONSE_UP,0.0,0.732,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0,0.654,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,0.637,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0,0.584,0.5,REFUTED
HALLMARK_INFLAMMATORY_RESPONSE,0.0,0.652,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0,0.672,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_ANDROGEN_RESPONSE,0.0,0.532,0.5,REFUTED
HALLMARK_ANGIOGENESIS,0.0,0.502,0.5,REFUTED
HALLMARK_APICAL_JUNCTION,0.0,0.565,0.5,REFUTED
HALLMARK_APICAL_SURFACE,0.0,0.545,0.5,REFUTED
HALLMARK_APOPTOSIS,0.0,0.514,0.5,REFUTED
HALLMARK_BILE_ACID_METABOLISM,0.0,0.697,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0,0.669,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_COAGULATION,0.0,0.509,0.5,REFUTED
HALLMARK_COMPLEMENT,0.0,0.621,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_DNA_REPAIR,0.0,0.607,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_E2F_TARGETS,0.0,0.761,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,0.507,0.5,REFUTED
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0,0.889,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0,0.849,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_FATTY_ACID_METABOLISM,0.0,0.587,0.5,REFUTED
HALLMARK_G2M_CHECKPOINT,0.0,0.76,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_GLYCOLYSIS,0.0,0.76,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_HEDGEHOG_SIGNALING,0.0,0.551,0.5,REFUTED
HALLMARK_HEME_METABOLISM,0.0,0.506,0.5,REFUTED
HALLMARK_HYPOXIA,0.0,0.647,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_IL2_STAT5_SIGNALING,0.0,0.615,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_XENOBIOTIC_METABOLISM,0.0,0.558,0.5,REFUTED
