hypothesis,delta_beyond_textbook,auroc_hypothesis,q_value,verdict
HALLMARK_ADIPOGENESIS,0.0,0.588,0.5,REFUTED
HALLMARK_PANCREAS_BETA_CELLS,0.0,0.549,0.5,REFUTED
HALLMARK_KRAS_SIGNALING_DN,0.0,0.593,0.5,REFUTED
HALLMARK_KRAS_SIGNALING_UP,0.0,0.51,0.5,REFUTED
HALLMARK_MITOTIC_SPINDLE,0.0,0.565,0.5,REFUTED
HALLMARK_MTORC1_SIGNALING,0.0,0.716,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYC_TARGETS_V1,0.0,0.624,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYC_TARGETS_V2,0.0,0.577,0.5,REFUTED
HALLMARK_MYOGENESIS,0.0,0.549,0.5,REFUTED
HALLMARK_NOTCH_SIGNALING,0.0,0.501,0.5,REFUTED
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0,0.587,0.5,REFUTED
HALLMARK_P53_PATHWAY,0.0,0.514,0.5,REFUTED
HALLMARK_PEROXISOME,0.0,0.621,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_ALLOGRAFT_REJECTION,0.0,0.526,0.5,REFUTED
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0,0.697,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_PROTEIN_SECRETION,0.0,0.633,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0,0.595,0.5,REFUTED
HALLMARK_SPERMATOGENESIS,0.0,0.537,0.5,REFUTED
HALLMARK_TGF_BETA_SIGNALING,0.0,0.509,0.5,REFUTED
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0,0.506,0.5,REFUTED
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0,0.625,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_UV_RESPONSE_DN,0.0,0.523,0.5,REFUTED
HALLMARK_UV_RESPONSE_UP,0.0,0.56,0.5,REFUTED
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0,0.628,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,0.561,0.5,REFUTED
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0,0.543,0.5,REFUTED
HALLMARK_INFLAMMATORY_RESPONSE,0.0,0.538,0.5,REFUTED
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0,0.517,0.5,REFUTED
HALLMARK_ANDROGEN_RESPONSE,0.0,0.708,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_ANGIOGENESIS,0.0,0.527,0.5,REFUTED
HALLMARK_APICAL_JUNCTION,0.0,0.505,0.5,REFUTED
HALLMARK_APICAL_SURFACE,0.0,0.53,0.5,REFUTED
HALLMARK_APOPTOSIS,0.0,0.546,0.5,REFUTED
HALLMARK_BILE_ACID_METABOLISM,0.0,0.515,0.5,REFUTED
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0,0.71,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_COAGULATION,0.0,0.512,0.5,REFUTED
HALLMARK_COMPLEMENT,0.0,0.546,0.5,REFUTED
HALLMARK_DNA_REPAIR,0.0,0.566,0.5,REFUTED
HALLMARK_E2F_TARGETS,0.0,0.608,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0,0.538,0.5,REFUTED
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0,0.588,0.5,REFUTED
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0,0.56,0.5,REFUTED
HALLMARK_FATTY_ACID_METABOLISM,0.0,0.593,0.5,REFUTED
HALLMARK_G2M_CHECKPOINT,0.0,0.631,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_GLYCOLYSIS,0.0,0.641,0.5,EXPLAINED_BY_TEXTBOOK
HALLMARK_HEDGEHOG_SIGNALING,0.0,0.543,0.5,REFUTED
HALLMARK_HEME_METABOLISM,0.0,0.549,0.5,REFUTED
HALLMARK_HYPOXIA,0.0,0.527,0.5,REFUTED
HALLMARK_IL2_STAT5_SIGNALING,0.0,0.543,0.5,REFUTED
HALLMARK_XENOBIOTIC_METABOLISM,0.0,0.561,0.5,REFUTED
