hypothesis,mean_delta,both_anchors_support,auroc_hypothesis,q_value,robust_verdict
HALLMARK_E2F_TARGETS,0.1244,False,0.915,0.0,EXPLAINED_BY_TEXTBOOK
HALLMARK_G2M_CHECKPOINT,0.1219,False,0.898,0.0,EXPLAINED_BY_TEXTBOOK
HALLMARK_DNA_REPAIR,0.0909,False,0.835,0.0006,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYC_TARGETS_V2,0.0798,False,0.768,0.0032,EXPLAINED_BY_TEXTBOOK
HALLMARK_MTORC1_SIGNALING,0.0754,False,0.822,0.0052,EXPLAINED_BY_TEXTBOOK
HALLMARK_SPERMATOGENESIS,0.0682,False,0.791,0.0121,EXPLAINED_BY_TEXTBOOK
HALLMARK_MITOTIC_SPINDLE,0.067,False,0.742,0.0121,EXPLAINED_BY_TEXTBOOK
HALLMARK_UV_RESPONSE_DN,0.0664,False,0.754,0.0121,EXPLAINED_BY_TEXTBOOK
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.0628,False,0.76,0.0175,EXPLAINED_BY_TEXTBOOK
HALLMARK_APICAL_JUNCTION,0.0605,True,0.738,0.0209,SUPPORTED
HALLMARK_MYC_TARGETS_V1,0.0599,False,0.797,0.0209,EXPLAINED_BY_TEXTBOOK
HALLMARK_MYOGENESIS,0.0573,False,0.755,0.0266,EXPLAINED_BY_TEXTBOOK
HALLMARK_UV_RESPONSE_UP,0.0434,False,0.708,0.1135,EXPLAINED_BY_TEXTBOOK
HALLMARK_NOTCH_SIGNALING,0.0407,False,0.703,0.1335,EXPLAINED_BY_TEXTBOOK
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.0402,False,0.703,0.1335,EXPLAINED_BY_TEXTBOOK
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0358,False,0.668,0.1868,EXPLAINED_BY_TEXTBOOK
HALLMARK_COAGULATION,0.0339,False,0.652,0.202,EXPLAINED_BY_TEXTBOOK
HALLMARK_KRAS_SIGNALING_UP,0.0335,False,0.626,0.202,EXPLAINED_BY_TEXTBOOK
HALLMARK_GLYCOLYSIS,0.032,False,0.711,0.2159,EXPLAINED_BY_TEXTBOOK
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0291,False,0.699,0.2569,EXPLAINED_BY_TEXTBOOK
HALLMARK_P53_PATHWAY,0.025,False,0.604,0.3247,EXPLAINED_BY_TEXTBOOK
HALLMARK_TGF_BETA_SIGNALING,0.0245,False,0.646,0.3247,EXPLAINED_BY_TEXTBOOK
HALLMARK_ANGIOGENESIS,0.0223,False,0.646,0.3615,EXPLAINED_BY_TEXTBOOK
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.0168,False,0.667,0.4701,EXPLAINED_BY_TEXTBOOK
HALLMARK_APICAL_SURFACE,0.0166,False,0.633,0.4701,EXPLAINED_BY_TEXTBOOK
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.0144,False,0.629,0.4916,EXPLAINED_BY_TEXTBOOK
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.0144,False,0.584,0.4916,REFUTED
HALLMARK_HYPOXIA,0.0137,False,0.581,0.4933,REFUTED
HALLMARK_APOPTOSIS,0.0041,False,0.53,0.5062,REFUTED
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.003,False,0.582,0.5062,REFUTED
HALLMARK_IL2_STAT5_SIGNALING,0.0026,False,0.551,0.5062,REFUTED
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.0007,False,0.614,0.5062,EXPLAINED_BY_TEXTBOOK
HALLMARK_PROTEIN_SECRETION,0.0006,False,0.632,0.5062,EXPLAINED_BY_TEXTBOOK
HALLMARK_PEROXISOME,0.0,False,0.628,0.5062,EXPLAINED_BY_TEXTBOOK
HALLMARK_PANCREAS_BETA_CELLS,0.0,False,0.509,0.5062,REFUTED
HALLMARK_ADIPOGENESIS,0.0,False,0.512,0.5062,REFUTED
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.0,False,0.558,0.5062,REFUTED
HALLMARK_KRAS_SIGNALING_DN,0.0,False,0.61,0.5062,EXPLAINED_BY_TEXTBOOK
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0,False,0.547,0.5062,REFUTED
HALLMARK_ALLOGRAFT_REJECTION,0.0,False,0.503,0.5062,REFUTED
HALLMARK_INFLAMMATORY_RESPONSE,0.0,False,0.52,0.5062,REFUTED
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.0,False,0.531,0.5062,REFUTED
HALLMARK_HEME_METABOLISM,0.0,False,0.511,0.5062,REFUTED
HALLMARK_FATTY_ACID_METABOLISM,0.0,False,0.545,0.5062,REFUTED
HALLMARK_ESTROGEN_RESPONSE_LATE,0.0,False,0.539,0.5062,REFUTED
HALLMARK_COMPLEMENT,0.0,False,0.544,0.5062,REFUTED
HALLMARK_BILE_ACID_METABOLISM,0.0,False,0.514,0.5062,REFUTED
HALLMARK_ANDROGEN_RESPONSE,0.0,False,0.546,0.5062,REFUTED
HALLMARK_XENOBIOTIC_METABOLISM,0.0,False,0.529,0.5062,REFUTED
HALLMARK_HEDGEHOG_SIGNALING,-0.0004,False,0.616,0.5062,EXPLAINED_BY_TEXTBOOK
