hypothesis,auroc_hypothesis,corr_with_textbook,delta_beyond_textbook,verdict,unique_r2,common_r2,redundancy,prop_mediated,collinearity_label
HALLMARK_APICAL_SURFACE,0.7461,-0.132,0.0219,SUPPORTED,0.0888,0.051,0.365,0.196,NOVEL
HALLMARK_ESTROGEN_RESPONSE_LATE,0.6149,0.3285,0.0219,SUPPORTED,0.1099,-0.0961,-6.932,-1.982,NOVEL
HALLMARK_P53_PATHWAY,0.7226,-0.1185,0.0199,SUPPORTED,0.076,0.0425,0.359,0.193,NOVEL
HALLMARK_WNT_BETA_CATENIN_SIGNALING,0.7617,-0.2486,0.0191,SUPPORTED,0.0671,0.092,0.578,0.329,NOVEL
HALLMARK_NOTCH_SIGNALING,0.7466,-0.2479,0.0178,SUPPORTED,0.0618,0.089,0.59,0.339,NOVEL
HALLMARK_APICAL_JUNCTION,0.7464,-0.1871,0.0171,SUPPORTED,0.0681,0.0671,0.496,0.277,NOVEL
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.7002,0.1237,0.0169,SUPPORTED,0.1014,-0.0426,-0.725,-0.324,NOVEL
HALLMARK_MYOGENESIS,0.7818,-0.3879,0.0148,SUPPORTED,0.033,0.1256,0.792,0.505,NOVEL
HALLMARK_COAGULATION,0.7468,-0.2512,0.0139,SUPPORTED,0.0573,0.088,0.606,0.351,NOVEL
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.6998,-0.2381,0.0135,SUPPORTED,0.0334,0.0685,0.672,0.41,NOVEL
HALLMARK_APOPTOSIS,0.6773,-0.0854,0.0133,SUPPORTED,0.0504,0.025,0.331,0.179,NOVEL
HALLMARK_KRAS_SIGNALING_DN,0.7039,-0.1165,0.0079,EXPLAINED_BY_TEXTBOOK,0.0594,0.0376,0.387,0.212,NOVEL
HALLMARK_TGF_BETA_SIGNALING,0.7574,-0.3486,0.0073,EXPLAINED_BY_TEXTBOOK,0.0399,0.1159,0.744,0.46,NOVEL
HALLMARK_UV_RESPONSE_DN,0.7848,-0.4199,0.0067,EXPLAINED_BY_TEXTBOOK,0.0423,0.1482,0.778,0.481,NOVEL
HALLMARK_HYPOXIA,0.717,-0.2672,0.0059,EXPLAINED_BY_TEXTBOOK,0.0366,0.0813,0.689,0.422,NOVEL
HALLMARK_KRAS_SIGNALING_UP,0.708,-0.2392,0.005,EXPLAINED_BY_TEXTBOOK,0.0341,0.0694,0.67,0.408,NOVEL
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.7137,-0.1948,0.0048,EXPLAINED_BY_TEXTBOOK,0.0427,0.0588,0.579,0.339,NOVEL
HALLMARK_HEDGEHOG_SIGNALING,0.7197,-0.2729,0.0011,EXPLAINED_BY_TEXTBOOK,0.0356,0.0826,0.699,0.43,NOVEL
HALLMARK_ADIPOGENESIS,0.572,-0.3274,0.0,REFUTED,0.0039,0.0144,0.785,1.491,REDUNDANT
HALLMARK_ALLOGRAFT_REJECTION,0.5501,0.0069,0.0,REFUTED,0.0073,-0.0007,-0.104,-0.051,NOVEL
HALLMARK_ANDROGEN_RESPONSE,0.5956,-0.0387,0.0,REFUTED,0.0166,0.0064,0.279,0.15,NOVEL
HALLMARK_BILE_ACID_METABOLISM,0.6968,-0.3876,0.0,EXPLAINED_BY_TEXTBOOK,0.0058,0.0848,0.935,0.724,NOVEL
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.53,0.1605,0.0,REFUTED,0.0036,-0.0023,-1.716,2.67,INERT
HALLMARK_DNA_REPAIR,0.7364,0.6168,0.0,EXPLAINED_BY_TEXTBOOK,0.0,0.1358,1.0,0.993,REDUNDANT
HALLMARK_E2F_TARGETS,0.9139,0.9509,0.0,EXPLAINED_BY_TEXTBOOK,0.0622,0.3511,0.849,-0.254,NOVEL
HALLMARK_FATTY_ACID_METABOLISM,0.5613,-0.2634,0.0,REFUTED,0.0015,0.0128,0.896,1.335,REDUNDANT
HALLMARK_G2M_CHECKPOINT,0.894,0.9394,0.0,EXPLAINED_BY_TEXTBOOK,0.0131,0.3446,0.963,0.443,NOVEL
HALLMARK_GLYCOLYSIS,0.5718,0.3552,0.0,REFUTED,0.0116,0.0006,0.053,2.041,NOVEL
HALLMARK_HEME_METABOLISM,0.6595,-0.3754,0.0,EXPLAINED_BY_TEXTBOOK,0.0006,0.0599,0.99,0.893,REDUNDANT
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5624,0.1932,0.0,REFUTED,0.0003,0.0095,0.972,1.17,INERT
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5205,0.1137,0.0,REFUTED,0.0017,-0.001,-1.43,2.569,INERT
