run,srx,gsm,sample,genotype,antibody,control,control_replicate
SRR1283896,SRX540707,GSM1385038,WT_Dnmt3a2,WT,Dnmt3a2,TKO_input,1
SRR1283899,SRX540710,GSM1385041,WT_Dnmt3a2,WT,Dnmt3a2,TKO_input,1
SRR1283897,SRX540708,GSM1385039,WWD_Dnmt3a2,WWD,Dnmt3a2,TKO_input,1
SRR1283900,SRX540711,GSM1385042,WWD_Dnmt3a2,WWD,Dnmt3a2,TKO_input,1
SRR1283898,SRX540709,GSM1385040,R_Dnmt3a2,R,Dnmt3a2,TKO_input,1
SRR1283901,SRX540712,GSM1385043,R_Dnmt3a2,R,Dnmt3a2,TKO_input,1
SRR1283904,SRX540715,GSM1385046,WT_H3K4me3,WT,H3K4me3,TKO_input,1
SRR1283905,SRX540716,GSM1385047,WWD_H3K4me3,WWD,H3K4me3,TKO_input,1
SRR1283906,SRX540717,GSM1385048,R_H3K4me3,R,H3K4me3,TKO_input,1
SRR1283903,SRX540714,GSM1385045,TKO_input,TKO,,,
