gene,partial_corr_y_given_anchor,corr_with_anchor
DSG3,-0.469,-0.1
KRT5,-0.464,-0.124
KRT17,-0.463,-0.073
KRT6B,-0.459,-0.053
KRT14,-0.457,-0.152
MIA,-0.457,-0.134
TP63,-0.449,-0.14
DSC3,-0.449,-0.092
COL17A1,-0.442,-0.152
SOX10,-0.432,-0.201
KLK5,-0.43,-0.109
SYT8,-0.43,-0.14
KLK7,-0.428,-0.141
KLK8,-0.427,-0.123
STAC2,-0.425,-0.168
ANXA8L2,-0.424,-0.127
ANXA8,-0.42,-0.12
CLDN19,-0.418,-0.24
KLK6,-0.414,-0.062
TRIM29,-0.413,-0.144
CALML3,-0.412,-0.077
IRX1,-0.412,-0.282
FAT2,-0.41,-0.234
PPP1R14C,-0.403,-0.081
NGFR,-0.397,-0.242
KRT16,-0.395,-0.095
C2orf40,-0.394,-0.381
SOSTDC1,-0.391,-0.166
S100A2,-0.391,-0.017
OSR1,-0.387,-0.358
