gene,partial_corr,corr_with_anchor
ARSI,0.402,0.114
KIAA1755,0.389,-0.051
GFPT2,0.384,0.074
PTGS1,0.379,-0.225
ROR2,0.379,-0.057
CHST15,0.374,0.106
ANKRD29,0.374,-0.12
SFRP2,0.374,-0.022
C1orf126,-0.369,-0.325
BEND6,0.368,0.068
COL8A2,0.367,-0.086
WBSCR17,0.366,-0.293
CAMK2A,0.361,-0.207
CHRDL2,0.36,-0.073
FAM20C,0.359,0.003
PDLIM3,0.359,-0.214
BNC2,0.358,-0.163
CPXM2,0.358,-0.263
GREM1,0.357,0.151
CCDC80,0.355,-0.099
POSTN,0.355,0.109
ALPK2,0.355,0.145
PRRX1,0.354,0.064
GLI2,0.354,-0.119
EFEMP1,0.352,-0.048
COL16A1,0.352,-0.093
TGFB3,0.352,-0.139
FLNC,0.351,-0.231
LOC399959,0.35,-0.28
SFRP4,0.35,-0.027
