gene,partial_corr,corr_with_anchor
KLHDC7A,-0.864,-0.409
TBX3,-0.848,-0.408
FER1L4,-0.809,-0.529
PPARG,-0.806,-0.428
FAM174B,-0.806,-0.571
TOX3,-0.797,-0.46
S100A5,-0.793,-0.378
RAB15,-0.787,-0.494
SLC14A1,-0.785,-0.498
BNC1,0.785,0.344
RNF128,-0.772,-0.357
GFPT2,0.772,0.561
KRT6B,0.771,0.423
VSIG2,-0.77,-0.596
ARSI,0.77,0.454
FLJ45983,-0.77,-0.394
SFRP2,0.769,0.445
C17orf28,-0.768,-0.49
HPGD,-0.768,-0.539
MFAP5,0.766,0.391
CD109,0.763,0.495
MT1X,0.759,0.458
AGAP11,-0.759,-0.566
CAPS,-0.758,-0.474
VSNL1,0.757,0.389
GOLT1A,-0.754,-0.472
FBP1,-0.754,-0.474
C10orf116,-0.754,-0.469
EFEMP1,0.754,0.29
BTBD16,-0.753,-0.527
