gene,partial_corr,corr_with_anchor
TP63,0.758,0.223
GPR87,0.758,0.261
C10orf108,-0.741,-0.258
SLC6A20,-0.737,-0.175
HNF1A,-0.735,-0.079
CLCA2,0.728,0.159
LOC642587,0.719,0.322
PKP1,0.712,0.22
LOC285419,-0.707,-0.129
KRT6A,0.706,0.226
DNALI1,-0.703,-0.176
DSG3,0.702,0.186
ANXA8,0.699,0.27
C12orf27,-0.697,-0.101
KRT5,0.696,0.268
C3orf54,0.693,0.033
CCDC108,-0.691,-0.072
BNC1,0.688,0.164
GPR109A,0.687,0.244
DSC3,0.685,0.178
CSTA,0.685,0.205
FRMD6,0.682,-0.048
ARMC3,-0.678,-0.05
TM4SF4,-0.678,-0.198
CLRN3,-0.676,-0.132
CALML3,0.675,0.178
SERPINB13,0.674,0.163
SOX15,0.674,0.093
TOX3,-0.672,-0.084
KRT6C,0.67,0.19
