gene,partial_corr,corr_with_anchor
EPS8L3,-0.944,-0.119
HNF4A,-0.925,-0.076
HNF1A,-0.922,-0.054
HNF1B,-0.921,-0.153
C12orf27,-0.916,-0.155
MUC13,-0.913,-0.067
ANKS4B,-0.907,-0.035
VIL1,-0.904,0.042
GPR35,-0.904,-0.088
TM4SF5,-0.903,-0.114
USH1C,-0.902,-0.1
TSPAN8,-0.901,-0.191
LGALS4,-0.901,-0.134
CLRN3,-0.9,0.021
C6orf222,-0.899,-0.097
GJB1,-0.897,-0.114
CDHR5,-0.893,-0.106
MYO1A,-0.889,-0.155
ARHGEF38,-0.885,-0.095
C4BPB,-0.884,-0.159
FOXA3,-0.88,-0.141
LOC100130933,-0.874,-0.199
IHH,-0.874,-0.176
RNF186,-0.873,-0.002
BCL2L15,-0.87,-0.159
HGD,-0.869,-0.126
C19orf77,-0.868,-0.177
CDHR2,-0.868,-0.169
SEMA4G,-0.866,-0.115
TMC5,-0.859,-0.132
