gene,partial_corr_y_given_anchor,corr_with_anchor
RUNDC3A,-0.205,-0.017
FBLL1,-0.196,0.083
DOC2A,-0.181,0.08
AZU1,-0.179,0.05
ENHO,-0.178,-0.062
PCSK1N,-0.176,0.033
SULT4A1,-0.172,-0.06
BEX1,-0.171,-0.053
MS4A8B,-0.158,0.073
PDZK1P1,-0.158,-0.051
DNAI1,-0.157,0.241
RIC3,-0.154,-0.119
CAMK2B,-0.154,0.086
PHF21B,-0.154,0.067
FAM57B,-0.153,0.104
RAMP1,-0.152,0.051
RLTPR,-0.152,-0.015
NPW,-0.151,0.123
CCDC74B,-0.151,-0.002
SEMA3D,0.15,-0.087
CACNA2D1,0.149,-0.197
PAX7,0.146,0.24
LPPR3,-0.146,-0.021
WNK4,-0.145,0.075
PCP2,-0.144,0.049
EDIL3,0.141,-0.116
EPHA8,-0.141,0.03
RSPO4,-0.141,-0.048
KANK4,0.141,-0.077
LOC100130148,-0.14,-0.054
