gene,partial_corr,corr_with_anchor
DSG3,0.787,0.514
KRT5,0.783,0.425
DSC3,0.764,0.494
CALML3,0.755,0.526
LASS3,0.747,0.493
BNC1,0.743,0.425
S1PR5,0.73,0.363
CLCA2,0.726,0.384
SERPINB13,0.722,0.452
TP63,0.706,0.415
KRT74,0.7,0.497
KRT6C,0.696,0.541
KRT6B,0.693,0.539
CSTA,0.687,0.338
FAT2,0.683,0.461
KRT13,0.682,0.337
VSNL1,0.68,0.358
JAG1,0.676,0.346
KRT6A,0.676,0.551
DAPL1,0.676,0.433
LOC642587,0.673,0.475
ANXA8,0.669,0.173
NTRK2,0.668,0.203
TRIM29,0.66,0.363
SPRR2A,0.66,0.435
KRT14,0.659,0.46
HR,0.658,0.302
MCC,0.652,0.055
COL4A6,0.652,0.234
ODZ2,0.649,0.283
