gene,partial_corr,corr_with_anchor
LY86,-0.414,-0.159
CFH,-0.403,-0.402
MS4A7,-0.396,-0.326
GAPT,-0.391,-0.279
CD52,-0.388,-0.095
ARHGAP15,-0.386,-0.365
CD37,-0.384,-0.119
RORB,-0.382,-0.473
RNLS,-0.381,-0.596
CD53,-0.381,-0.039
GZMK,-0.379,-0.144
ADORA3,-0.379,-0.307
RHOH,-0.379,0.081
CD48,-0.378,-0.087
MS4A4A,-0.376,-0.383
NCF1,-0.37,-0.037
DPYD,-0.37,-0.455
SIGLEC10,-0.37,0.086
LOC100188949,-0.369,-0.004
PTGDS,-0.365,-0.404
PTPRCAP,-0.365,0.04
TBC1D10C,-0.364,0.062
CD69,-0.363,-0.228
APOE,-0.36,0.124
BTK,-0.36,-0.155
NKG7,-0.359,0.017
IL10RA,-0.359,-0.229
SASH3,-0.358,0.016
TMEM156,-0.357,0.123
SERPING1,-0.355,-0.497
