gene,partial_corr,corr_with_anchor
HIF3A,0.649,-0.144
L1CAM,0.631,0.18
CLDN6,0.625,0.331
SLC6A12,0.613,0.047
FIGNL2,0.605,0.033
TRO,0.601,-0.114
RYR1,0.594,0.173
NPR1,0.591,-0.239
MAG,0.585,-0.144
MX2,0.577,0.198
ZNF334,0.576,-0.227
TP53TG3B,0.571,0.089
MYT1,0.571,0.187
XAGE2,0.57,0.206
BCAM,0.565,-0.005
RSPO4,0.559,0.185
LOC284749,0.558,0.178
SLC6A13,0.556,0.066
C7orf51,0.555,-0.263
IGF2BP1,0.555,0.41
DOCK3,0.552,-0.046
SRCRB4D,0.551,0.286
IL20RA,-0.546,-0.314
ADRA1B,0.545,-0.131
KIAA1324,-0.544,-0.075
EYA4,0.538,-0.077
FBXO17,0.536,-0.21
MAGEH1,0.536,-0.351
CLDN19,0.534,0.191
GAD1,-0.53,0.032
